filename,label
0.png,4
1.png,9
2.png,1
3.png,7
4.png,3
5.png,9
6.png,4
7.png,9
8.png,3
9.png,4
10.png,2
11.png,3
12.png,6
13.png,6
14.png,0
15.png,4
16.png,8
17.png,7
18.png,9
19.png,5
20.png,3
21.png,9
22.png,1
23.png,9
24.png,6
25.png,8
26.png,9
27.png,5
28.png,7
29.png,3
30.png,2
31.png,0
32.png,5
33.png,2
34.png,8
35.png,8
36.png,4
37.png,1
38.png,2
39.png,2
40.png,8
41.png,1
42.png,5
43.png,4
44.png,1
45.png,8
46.png,8
47.png,8
48.png,6
49.png,0
50.png,7
51.png,9
52.png,6
53.png,4
54.png,6
55.png,7
56.png,9
57.png,0
58.png,5
59.png,2
60.png,3
61.png,6
62.png,1
63.png,3
64.png,2
65.png,2
66.png,8
67.png,4
68.png,0
69.png,1
70.png,5
71.png,7
72.png,2
73.png,3
74.png,0
75.png,4
76.png,6
77.png,3
78.png,7
79.png,5
80.png,9
81.png,3
82.png,4
83.png,9
84.png,6
85.png,1
86.png,9
87.png,6
88.png,4
89.png,1
90.png,4
91.png,1
92.png,7
93.png,4
94.png,4
95.png,2
96.png,2
97.png,0
98.png,0
99.png,6
100.png,7
101.png,7
102.png,2
103.png,6
104.png,1
105.png,1
106.png,0
107.png,6
108.png,5
109.png,4
110.png,8
111.png,8
112.png,6
113.png,4
114.png,9
115.png,3
116.png,3
117.png,7
118.png,8
119.png,8
120.png,8
121.png,9
122.png,1
123.png,3
124.png,7
125.png,9
126.png,7
127.png,7
128.png,1
129.png,1
130.png,6
131.png,5
132.png,5
133.png,5
134.png,6
135.png,2
136.png,3
137.png,0
138.png,5
139.png,4
140.png,6
141.png,9
142.png,4
143.png,9
144.png,3
145.png,7
146.png,4
147.png,2
148.png,3
149.png,0
150.png,0
151.png,0
152.png,2
153.png,7
154.png,1
155.png,4
156.png,8
157.png,4
158.png,9
159.png,8
160.png,3
161.png,4
162.png,3
163.png,6
164.png,4
165.png,9
166.png,8
167.png,0
168.png,4
169.png,4
170.png,5
171.png,6
172.png,6
173.png,6
174.png,7
175.png,5
176.png,9
177.png,2
178.png,0
179.png,8
180.png,2
181.png,7
182.png,1
183.png,6
184.png,1
185.png,9
186.png,5
187.png,2
188.png,3
189.png,4
190.png,8
191.png,5
192.png,1
193.png,4
194.png,7
195.png,3
196.png,4
197.png,6
198.png,2
199.png,0
200.png,1
201.png,8
202.png,4
203.png,9
204.png,1
205.png,3
206.png,6
207.png,7
208.png,1
209.png,0
210.png,1
211.png,1
212.png,6
213.png,0
214.png,7
215.png,1
216.png,4
217.png,1
218.png,5
219.png,0
220.png,2
221.png,9
222.png,6
223.png,1
224.png,5
225.png,0
226.png,1
227.png,4
228.png,4
229.png,6
230.png,9
231.png,5
232.png,7
233.png,6
234.png,7
235.png,9
236.png,4
237.png,2
238.png,3
239.png,2
240.png,2
241.png,0
242.png,9
243.png,4
244.png,5
245.png,5
246.png,7
247.png,3
248.png,0
249.png,3
250.png,8
251.png,4
252.png,3
253.png,9
254.png,0
255.png,8
256.png,8
257.png,4
258.png,0
259.png,2
260.png,5
261.png,0
262.png,8
263.png,6
264.png,7
265.png,0
266.png,5
267.png,9
268.png,3
269.png,6
270.png,8
271.png,0
272.png,4
273.png,1
274.png,7
275.png,0
276.png,9
277.png,4
278.png,4
279.png,8
280.png,7
281.png,7
282.png,2
283.png,7
284.png,7
285.png,1
286.png,6
287.png,1
288.png,6
289.png,4
290.png,5
291.png,9
292.png,8
293.png,4
294.png,3
295.png,6
296.png,9
297.png,8
298.png,8
299.png,1
300.png,6
301.png,2
302.png,7
303.png,7
304.png,0
305.png,9
306.png,1
307.png,9
308.png,9
309.png,3
310.png,7
311.png,0
312.png,6
313.png,7
314.png,5
315.png,1
316.png,0
317.png,6
318.png,1
319.png,9
320.png,0
321.png,3
322.png,9
323.png,9
324.png,9
325.png,9
326.png,1
327.png,5
328.png,0
329.png,6
330.png,9
331.png,8
332.png,9
333.png,6
334.png,3
335.png,9
336.png,7
337.png,7
338.png,3
